,magX,magY,magZ,time
2900,-0.0635,0.2841,0.3277,0
2901,-0.0645,0.2831,0.3319,0
2902,-0.063,0.2835,0.3271,0
2903,-0.064,0.2809,0.3277,0
2904,-0.0645,0.2825,0.3283,0
2905,-0.064,0.2841,0.3265,1
2906,-0.0625,0.2835,0.3253,1
2907,-0.064,0.2841,0.3271,1
2908,-0.0635,0.2804,0.3283,1
2909,-0.0635,0.2809,0.3259,1
2910,-0.0635,0.2852,0.3259,1
2911,-0.0625,0.2809,0.3259,1
2912,-0.063,0.2814,0.3259,1
2913,-0.0651,0.2825,0.327,1
2914,-0.063,0.2825,0.3265,1
2915,-0.0599,0.2813,0.3261,1
2916,-0.0651,0.2836,0.3234,1
2917,-0.0614,0.2846,0.3272,1
2918,-0.0661,0.2831,0.3246,1
2919,-0.0666,0.2831,0.3252,1
2920,-0.0671,0.2831,0.3263,1
2921,-0.0692,0.2869,0.3244,1
2922,-0.0645,0.2836,0.3222,1
2923,-0.0702,0.2816,0.3238,1
2924,-0.0687,0.2821,0.3233,1
2925,-0.0697,0.2811,0.3256,2
2926,-0.0697,0.2821,0.3238,2
2927,-0.0713,0.2833,0.3237,2
2928,-0.0707,0.2848,0.3213,2
2929,-0.0712,0.2843,0.3213,2
2930,-0.0723,0.2801,0.3195,2
2931,-0.0739,0.2785,0.32,2
2932,-0.0744,0.2791,0.3188,2
2933,-0.0749,0.2796,0.3224,2
2934,-0.0739,0.2801,0.3158,2
2935,-0.0755,0.277,0.3194,2
2936,-0.078,0.2776,0.3162,2
2937,-0.0744,0.2775,0.3158,2
2938,-0.076,0.2791,0.3151,2
2939,-0.0755,0.2754,0.3169,2
2940,-0.0776,0.2744,0.3156,2
2941,-0.0781,0.2733,0.318,2
2942,-0.0755,0.2706,0.3151,2
2943,-0.075,0.2716,0.3176,2
2944,-0.0735,0.2694,0.3152,2
2945,-0.074,0.2716,0.317,2
2946,-0.0766,0.2685,0.3157,3
2947,-0.0776,0.2685,0.3157,3
2948,-0.0771,0.2706,0.3181,3
2949,-0.075,0.2695,0.3182,3
2950,-0.0761,0.2695,0.3169,3
2951,-0.0761,0.2684,0.3194,3
2952,-0.0771,0.2679,0.3193,3
